183,341,263,78.70549,37,69,53
181,333,268,78.152,38,73,55.5
183,348,233,76.32283,39,76,57.5
185,395,303,88.30462,49,84,66.5
172,365,330,86.70976,47,77,62
186,390,289,86.4542,47,85,66
164,352,285,80.07311,31,60,45.5
187,388,278,85.35234,49,81,65
184,382,291,85.69715,47,82,64.5
123,359,255,73.62587,43,64,53.5
148,352,243,74.3193,46,74,60
196,390,341,92.73823,46,85,65.5
176,377,290,84.30388,42,81,61.5
129,331,205,66.49372,43,56,49.5
190,398,324,91.25096,48,86,67
173,377,326,87.58413,44,82,63
132,310,212,65.41572,47,0,23.5
184,349,304,83.69976,40,58,49
154,382,313,84.87107,41,82,61.5
161,363,312,83.61747,36,68,52
189,369,267,82.50145,31,72,51.5
189,366,350,90.49644,40,69,54.5
185,407,325,91.63789,52,86,69
52,302,133,48.74873,45,0,22.5
164,367,305,83.5248,39,80,59.5
183,400,262,84.50772,50,84,67
169,360,250,77.81775,45,74,59.5
125,362,208,69.37856,36,54,45
184,374,336,89.45955,50,75,62.5
194,411,370,97.45497,51,84,67.5
190,329,279,79.77637,46,66,56
156,372,243,77.05236,42,78,60
191,377,272,83.99609,48,77,62.5
184,371,288,84.2899,42,78,60
186,376,184,74.602,41,80,60.5
167,357,321,84.42961,32,74,53
178,342,288,80.76198,41,63,52
159,320,257,73.56104,36,66,51
159,358,313,82.9768,45,73,59
187,382,299,86.82617,45,82,63.5
186,335,252,77.29644,41,61,51
193,381,299,87.33163,49,81,65
182,370,233,78.45758,40,80,60
173,365,279,81.67466,38,78,58
185,371,286,84.234,47,80,63.5
168,357,233,75.82047,38,80,59
168,352,242,76.1536,46,74,60
190,385,274,84.86578,46,81,63.5
165,347,239,75.1897,37,68,52.5
182,376,273,83.14029,49,80,64.5
182,343,325,84.99105,47,70,58.5
186,360,303,84.81062,44,73,58.5
179,341,256,77.62176,45,61,53
131,322,266,71.94623,25,28,26.5
185,378,254,81.64145,44,73,58.5
174,378,241,79.26487,41,74,57.5
166,340,208,71.41133,36,56,46
166,355,223,74.44673,44,79,61.5
198,376,274,84.6905,43,85,64
165,360,295,81.93249,36,82,59
188,358,285,83.0626,40,70,55
104,368,276,74.76146,38,70,54
40,291,193,52.41691,32,0,16
189,365,306,86.08596,45,82,63.5
186,390,320,89.71409,49,84,66.5
177,368,269,81.41373,47,79,63
102,354,230,68.58386,36,49,42.5
172,329,244,74.44205,40,58,49
178,382,274,83.41751,42,83,62.5
187,368,335,88.9867,46,79,62.5
197,385,321,90.29496,46,81,63.5
190,380,341,91.2145,40,87,63.5
165,333,342,84.01607,47,66,56.5
147,356,316,81.91366,34,84,59
150,368,221,73.87287,39,67,53
152,286,221,65.91357,14,16,15
186,380,249,81.53543,49,80,64.5
175,354,241,77.00109,40,70,55
170,355,234,75.82328,46,74,60
175,380,283,83.81003,35,86,60.5
174,373,288,83.4656,42,74,58
183,354,351,88.78793,40,78,59
175,373,272,81.93945,41,81,61
176,371,322,86.86843,36,81,58.5
168,362,333,86.21462,29,80,54.5
168,358,267,79.34703,37,69,53
155,335,229,71.95965,43,31,37
187,391,328,90.59244,49,84,66.5
182,348,287,81.76806,47,71,59
159,365,244,76.76702,37,78,57.5
175,357,308,84.01833,40,52,46
148,349,246,74.25528,31,56,43.5
172,370,270,81.17687,47,76,61.5
171,359,254,78.34663,31,73,52
180,349,247,77.63057,42,76,59
153,354,270,77.61601,31,74,52.5
168,335,204,70.73952,36,67,51.5
181,358,304,84.31094,45,78,61.5
158,367,250,77.51566,46,77,61.5
174,342,250,76.56361,34,62,48
116,340,263,71.87025,30,64,47
190,376,259,82.41165,44,84,64
165,349,280,79.40504,45,67,56
173,368,249,78.9755,43,70,56.5
134,288,258,67.92708,28,39,33.5
192,351,344,88.62696,49,71,60
138,366,303,80.63149,36,82,59
183,340,201,72.38335,44,71,57.5
175,332,275,78.22287,47,70,58.5
174,361,289,82.38592,28,83,55.5
173,349,303,82.56249,29,64,46.5
185,330,233,74.77656,34,72,53
176,380,316,87.32651,41,83,62
196,376,305,87.62258,44,85,64.5
191,347,320,85.84777,43,76,59.5
176,374,255,80.44698,51,78,64.5
186,374,293,85.25484,47,84,65.5
174,363,311,84.85723,40,77,58.5
155,379,285,81.84909,45,82,63.5
182,362,260,80.42859,47,77,62
188,371,287,84.55314,34,75,54.5
155,353,268,77.58538,32,62,47
191,379,288,85.73012,38,80,59
173,363,276,81.23933,43,80,61.5
178,368,269,81.47839,43,82,62.5
179,360,293,83.08656,45,80,62.5
173,373,281,82.60212,39,80,59.5
184,387,323,89.31544,33,82,57.5
181,322,279,78.24717,31,0,15.5
168,355,243,76.59142,45,75,60
157,360,230,74.64471,35,61,48
182,369,282,83.23603,47,75,61
136,353,219,70.73112,29,69,49
166,329,246,73.97517,47,66,56.5
177,352,257,78.60368,44,76,60
156,363,279,79.82979,29,64,46.5
187,392,273,85.24137,48,85,66.5
185,349,270,80.33397,45,73,59
187,376,345,90.74846,46,82,64
58,369,271,69.79589,46,78,62
167,322,229,71.88715,36,72,54
174,372,244,79.0316,47,75,61
172,372,303,84.67557,38,84,61
168,403,256,82.67919,50,85,67.5
187,403,263,85.33107,50,86,68
179,369,311,85.89664,46,79,62.5
185,389,266,84.005,50,64,57
164,339,240,74.30851,44,72,58
146,342,172,65.96321,35,38,36.5
175,358,284,81.7619,36,57,46.5
187,366,260,81.3872,47,77,62
142,378,243,76.24231,34,78,56
175,382,338,89.45872,36,86,61
172,364,210,74.60667,34,80,57
186,336,274,79.59205,37,60,48.5
181,352,301,83.42788,40,81,60.5
161,357,303,82.13331,41,72,56.5
183,378,289,85.03068,40,82,61
189,384,273,84.50431,47,82,64.5
190,391,342,92.28277,47,85,66
172,358,277,80.67369,41,75,58
172,338,211,72.0569,36,62,49
181,366,230,77.69947,45,79,62
171,335,283,78.90391,38,64,51
98,372,259,72.93091,40,84,62
178,380,264,82.20419,40,84,62
169,355,278,80.30755,33,67,50
